,OMRÅDE,TID,SUNDHEDSUDGIFTER
164,Aabenraa,2009,3074
165,Fredericia,2009,3232
166,Horsens,2009,3075
167,Kolding,2009,3095
168,Vejle,2009,2840
169,Herning,2009,2606
170,Holstebro,2009,3193
171,Lemvig,2009,2944
172,Struer,2009,2958
173,Syddjurs,2009,3431
174,Norddjurs,2009,3594
175,Favrskov,2009,2695
176,Odder,2009,2649
177,Randers,2009,2754
178,Silkeborg,2009,3034
179,Samsø,2009,3547
180,Skanderborg,2009,2676
181,Aarhus,2009,2706
182,Ikast-Brande,2009,2625
183,Ringkøbing-Skjern,2009,2897
184,Hedensted,2009,2777
185,Morsø,2009,2944
186,Skive,2009,3054
187,Thisted,2009,3014
188,Viborg,2009,2944
189,Brønderslev,2009,2769
190,Frederikshavn,2009,3210
191,Vesthimmerlands,2009,3073
192,Læsø,2009,2646
193,Rebild,2009,2978
194,Mariagerfjord,2009,2775
195,Jammerbugt,2009,2992
196,Aalborg,2009,2823
197,Hjørring,2009,3084
198,Hele landet,2010,3173
199,København,2010,3326
200,Frederiksberg,2010,3371
201,Ballerup,2010,3815
202,Brøndby,2010,3765
203,Dragør,2010,2981
204,Gentofte,2010,2964
205,Gladsaxe,2010,3357
206,Glostrup,2010,3659
207,Herlev,2010,4040
208,Albertslund,2010,3373
209,Hvidovre,2010,3515
210,Høje-Taastrup,2010,3406
211,Lyngby-Taarbæk,2010,3560
212,Rødovre,2010,3572
213,Ishøj,2010,3742
214,Tårnby,2010,3209
215,Vallensbæk,2010,3209
216,Furesø,2010,3029
217,Allerød,2010,2988
218,Fredensborg,2010,3239
219,Helsingør,2010,3648
220,Hillerød,2010,3275
221,Hørsholm,2010,3148
222,Rudersdal,2010,3482
223,Egedal,2010,3165
224,Frederikssund,2010,3249
225,Greve,2010,3045
226,Køge,2010,3137
227,Halsnæs,2010,3692
228,Roskilde,2010,3114
229,Solrød,2010,2964
230,Gribskov,2010,3390
231,Odsherred,2010,3336
232,Holbæk,2010,2948
233,Faxe,2010,3094
234,Kalundborg,2010,2949
235,Ringsted,2010,3038
236,Slagelse,2010,3059
237,Stevns,2010,3311
238,Sorø,2010,2879
239,Lejre,2010,3108
240,Lolland,2010,3752
241,Næstved,2010,3142
242,Guldborgsund,2010,3364
243,Vordingborg,2010,3241
244,Bornholm,2010,3299
245,Middelfart,2010,2996
246,Assens,2010,2964
247,Faaborg-Midtfyn,2010,3172
248,Kerteminde,2010,2899
249,Nyborg,2010,3070
250,Odense,2010,3201
251,Svendborg,2010,3048
252,Nordfyns,2010,3188
253,Langeland,2010,3602
254,Ærø,2010,3442
255,Haderslev,2010,3307
256,Billund,2010,3393
257,Sønderborg,2010,3318
258,Tønder,2010,3321
259,Esbjerg,2010,3294
260,Fanø,2010,3783
261,Varde,2010,3181
262,Vejen,2010,2943
263,Aabenraa,2010,3309
264,Fredericia,2010,3458
265,Horsens,2010,3280
266,Kolding,2010,3152
267,Vejle,2010,2974
268,Herning,2010,2756
269,Holstebro,2010,3305
270,Lemvig,2010,3089
271,Struer,2010,3029
272,Syddjurs,2010,3448
273,Norddjurs,2010,3556
274,Favrskov,2010,2910
275,Odder,2010,2718
276,Randers,2010,2887
277,Silkeborg,2010,3166
278,Samsø,2010,4264
279,Skanderborg,2010,2800
280,Aarhus,2010,2793
281,Ikast-Brande,2010,2830
282,Ringkøbing-Skjern,2010,3002
283,Hedensted,2010,2912
284,Morsø,2010,3067
285,Skive,2010,3121
286,Thisted,2010,3018
287,Viborg,2010,3174
288,Brønderslev,2010,2898
289,Frederikshavn,2010,3193
290,Vesthimmerlands,2010,3125
291,Læsø,2010,2539
292,Rebild,2010,2912
293,Mariagerfjord,2010,2917
294,Jammerbugt,2010,3023
295,Aalborg,2010,2856
296,Hjørring,2010,3088
297,Hele landet,2011,3195
298,København,2011,3275
299,Frederiksberg,2011,3229
300,Ballerup,2011,3847
301,Brøndby,2011,3852
302,Dragør,2011,3108
303,Gentofte,2011,3442
304,Gladsaxe,2011,3374
305,Glostrup,2011,3727
306,Herlev,2011,4052
307,Albertslund,2011,3494
308,Hvidovre,2011,3421
309,Høje-Taastrup,2011,3382
310,Lyngby-Taarbæk,2011,3449
311,Rødovre,2011,3543
312,Ishøj,2011,3631
313,Tårnby,2011,3235
314,Vallensbæk,2011,3265
315,Furesø,2011,2972
316,Allerød,2011,3037
317,Fredensborg,2011,3145
318,Helsingør,2011,3541
319,Hillerød,2011,3298
320,Hørsholm,2011,3051
321,Rudersdal,2011,3417
322,Egedal,2011,3114
323,Frederikssund,2011,3259
324,Greve,2011,3061
325,Køge,2011,3092
326,Halsnæs,2011,3793
327,Roskilde,2011,3054
328,Solrød,2011,2924
329,Gribskov,2011,3462
330,Odsherred,2011,3356
331,Holbæk,2011,2904
332,Faxe,2011,3069
333,Kalundborg,2011,2984
334,Ringsted,2011,3106
335,Slagelse,2011,3117
336,Stevns,2011,3382
337,Sorø,2011,2991
338,Lejre,2011,3061
339,Lolland,2011,3866
340,Næstved,2011,3112
341,Guldborgsund,2011,3510
342,Vordingborg,2011,3284
343,Bornholm,2011,3399
344,Middelfart,2011,3212
345,Assens,2011,3055
346,Faaborg-Midtfyn,2011,3315
347,Kerteminde,2011,2921
348,Nyborg,2011,3180
349,Odense,2011,3211
350,Svendborg,2011,3148
351,Nordfyns,2011,3284
352,Langeland,2011,3668
353,Ærø,2011,3402
354,Haderslev,2011,3374
355,Billund,2011,3463
356,Sønderborg,2011,3404
357,Tønder,2011,3431
358,Esbjerg,2011,3352
359,Fanø,2011,3850
360,Varde,2011,3185
361,Vejen,2011,3053
362,Aabenraa,2011,3424
363,Fredericia,2011,3489
